gameweek,weekday,match_date,start_time,home_team,away_team
27,Fri,2024-01-12,20:00:00,Hull City,Norwich City
27,Sat,2024-01-13,12:30:00,Coventry City,Leicester City
27,Sat,2024-01-13,15:00:00,Rotherham Utd,Stoke City
27,Sat,2024-01-13,15:00:00,Preston,Bristol City
27,Sat,2024-01-13,15:00:00,Southampton,Sheffield Weds
27,Sat,2024-01-13,15:00:00,Huddersfield,Plymouth Argyle
27,Sat,2024-01-13,15:00:00,Cardiff City,Leeds United
27,Sat,2024-01-13,15:00:00,West Brom,Blackburn
27,Sat,2024-01-13,15:00:00,Birmingham City,Swansea City
27,Sat,2024-01-13,15:00:00,Millwall,Middlesbrough
27,Sat,2024-01-13,17:30:00,Ipswich Town,Sunderland
27,Sun,2024-01-14,12:00:00,QPR,Watford
28,Fri,2024-01-19,20:00:00,Sunderland,Hull City
28,Sat,2024-01-20,12:30:00,Swansea City,Southampton
28,Sat,2024-01-20,15:00:00,Norwich City,West Brom
28,Sat,2024-01-20,15:00:00,Middlesbrough,Rotherham Utd
28,Sat,2024-01-20,15:00:00,QPR,Millwall
28,Sat,2024-01-20,15:00:00,Blackburn,Huddersfield
28,Sat,2024-01-20,15:00:00,Stoke City,Birmingham City
28,Sat,2024-01-20,15:00:00,Sheffield Weds,Coventry City
28,Sat,2024-01-20,15:00:00,Bristol City,Watford
28,Sat,2024-01-20,15:00:00,Plymouth Argyle,Cardiff City
28,Sun,2024-01-21,12:00:00,Leeds United,Preston
28,Mon,2024-01-22,20:00:00,Leicester City,Ipswich Town
29,Sat,2024-01-27,15:00:00,Leeds United,Norwich City
29,Sat,2024-01-27,15:00:00,Birmingham City,Middlesbrough
29,Sat,2024-01-27,15:00:00,Cardiff City,Blackburn
29,Sat,2024-01-27,15:00:00,Plymouth Argyle,West Brom
29,Sat,2024-01-27,15:00:00,Coventry City,Bristol City
29,Sat,2024-01-27,15:00:00,Sheffield Weds,Watford
29,Sat,2024-01-27,15:00:00,Ipswich Town,Rotherham Utd
29,Sat,2024-01-27,15:00:00,Southampton,Hull City
29,Sat,2024-01-27,15:00:00,Millwall,Preston
29,Sat,2024-01-27,15:00:00,Leicester City,Swansea City
29,Sat,2024-01-27,15:00:00,Sunderland,Stoke City
29,Sun,2024-01-28,13:30:00,QPR,Huddersfield
30,Fri,2024-02-02,20:00:00,Bristol City,Leeds United
30,Sat,2024-02-03,15:00:00,Rotherham Utd,Southampton
30,Sat,2024-02-03,15:00:00,Blackburn,QPR
