gameweek,weekday,match_date,start_time,home_team,home_xg,home_score,away_team,away_xg,away_score,attendance,venue,referee
1,Fri,2023-08-04,20:00:00,Sheffield Weds,0.5,1,Southampton,1.4,2,28558,Hillsborough Stadium,Robert Madley
1,Sat,2023-08-05,15:00:00,Bristol City,0.9,1,Preston,1.3,1,29359,Ashton Gate Stadium,David Webb
1,Sat,2023-08-05,15:00:00,Plymouth Argyle,2.4,3,Huddersfield,2.0,1,16446,Home Park,Matt Donohue
1,Sat,2023-08-05,15:00:00,Stoke City,2.4,4,Rotherham Utd,0.9,1,22601,Bet365 Stadium,John Busby
1,Sat,2023-08-05,15:00:00,Middlesbrough,0.8,0,Millwall,1.2,1,29359,Riverside Stadium,Gavin Ward
1,Sat,2023-08-05,15:00:00,Watford,2.9,4,QPR,0.4,0,20087,Vicarage Road Stadium,Thomas Bramall
1,Sat,2023-08-05,15:00:00,Blackburn,1.6,2,West Brom,0.8,1,16741,Ewood Park,Dean Whitestone
1,Sat,2023-08-05,15:00:00,Norwich City,2.6,2,Hull City,0.4,1,25892,Carrow Road,Keith Stroud
1,Sat,2023-08-05,15:00:00,Swansea City,1.3,1,Birmingham City,0.8,1,18051,Swansea.com Stadium,James Linington
1,Sun,2023-08-06,12:00:00,Leicester City,1.5,2,Coventry City,1.8,1,31763,King Power Stadium,Darren Bond
1,Sun,2023-08-06,14:30:00,Leeds United,1.7,2,Cardiff City,1.2,2,36368,Elland Road,Joshua Smith
1,Sun,2023-08-06,17:00:00,Sunderland,1.9,1,Ipswich Town,1.2,2,44407,Stadium of Light,Samuel Barrott
2,Sat,2023-08-12,12:30:00,Coventry City,0.9,3,Middlesbrough,1.3,0,24080,Coventry Building Society Arena,Dean Whitestone
2,Sat,2023-08-12,15:00:00,Huddersfield,1.2,0,Leicester City,1.4,1,19541,The John Smith's Stadium,David Webb
2,Sat,2023-08-12,15:00:00,West Brom,1.9,3,Swansea City,2.1,2,24051,The Hawthorns,Samuel Barrott
2,Sat,2023-08-12,15:00:00,Cardiff City,2.0,1,QPR,1.3,2,21230,Cardiff City Stadium,Oliver Langford
2,Sat,2023-08-12,15:00:00,Watford,1.2,0,Plymouth Argyle,1.0,0,19446,Vicarage Road Stadium,Geoff Eltringham
2,Sat,2023-08-12,15:00:00,Ipswich Town,2.0,2,Stoke City,0.6,0,29006,Portman Road Stadium,Joshua Smith
2,Sat,2023-08-12,15:00:00,Preston,0.7,2,Sunderland,1.6,1,19892,Deepdale Stadium,James Linington
2,Sat,2023-08-12,15:00:00,Rotherham Utd,0.7,2,Blackburn,2.6,2,10828,AESSEAL New York Stadium,Robert Madley
2,Sat,2023-08-12,15:00:00,Hull City,2.0,4,Sheffield Weds,0.5,2,20410,MKM Stadium,Matt Donohue
2,Sat,2023-08-12,15:00:00,Southampton,3.7,4,Norwich City,2.0,4,30113,St. Mary's Stadium,Darren England
2,Sat,2023-08-12,15:00:00,Millwall,0.5,0,Bristol City,0.9,1,18905,The Den,Keith Stroud
2,Sat,2023-08-12,15:00:00,Birmingham City,1.6,1,Leeds United,0.4,0,20451,St Andrew's Trillion Trophy Stadium,Tim Robinson
3,Fri,2023-08-18,20:00:00,Leeds United,1.8,1,West Brom,0.3,1,33890,Elland Road,Matt Donohue
3,Sat,2023-08-19,12:30:00,Plymouth Argyle,1.4,1,Southampton,2.0,2,16392,Home Park,David Webb
3,Sat,2023-08-19,15:00:00,Leicester City,0.7,2,Cardiff City,1.1,1,31595,King Power Stadium,Graham Scott
3,Sat,2023-08-19,15:00:00,Stoke City,0.9,1,Watford,0.7,0,21183,Bet365 Stadium,James Bell
3,Sat,2023-08-19,15:00:00,Bristol City,0.8,0,Birmingham City,1.3,2,22397,Ashton Gate Stadium,Samuel Barrott
3,Sat,2023-08-19,15:00:00,Middlesbrough,2.0,1,Huddersfield,1.2,1,26257,Riverside Stadium,Joshua Smith
3,Sat,2023-08-19,15:00:00,Swansea City,0.7,1,Coventry City,0.9,1,16736,Swansea.com Stadium,Robert Madley
3,Sat,2023-08-19,15:00:00,QPR,0.9,0,Ipswich Town,1.3,1,16790,MATRADE Loftus Road Stadium,Geoff Eltringham
3,Sat,2023-08-19,15:00:00,Sunderland,1.4,2,Rotherham Utd,0.6,1,40688,Stadium of Light,Gavin Ward
3,Sat,2023-08-19,15:00:00,Blackburn,1.6,1,Hull City,2.1,2,13943,Ewood Park,Oliver Langford
3,Sat,2023-08-19,15:00:00,Sheffield Weds,0.5,0,Preston,0.4,1,25138,Hillsborough Stadium,Jeremy Simpson
3,Sun,2023-08-20,12:00:00,Norwich City,1.7,3,Millwall,0.5,1,26218,Carrow Road,Tony Harrington
4,Fri,2023-08-25,19:30:00,Hull City,1.5,1,Bristol City,3.6,1,19491,MKM Stadium,James Linington
4,Sat,2023-08-26,15:00:00,Preston,0.6,2,Swansea City,0.3,1,14464,Deepdale Stadium,Joshua Smith
4,Sat,2023-08-26,15:00:00,Ipswich Town,2.4,3,Leeds United,1.6,4,29606,Portman Road Stadium,Robert Madley
4,Sat,2023-08-26,15:00:00,Rotherham Utd,0.6,1,Leicester City,1.4,2,11418,AESSEAL New York Stadium,Simon Hooper
4,Sat,2023-08-26,15:00:00,Huddersfield,1.0,0,Norwich City,2.5,4,18708,The John Smith's Stadium,Dean Whitestone
4,Sat,2023-08-26,15:00:00,Cardiff City,1.9,2,Sheffield Weds,0.8,1,21058,Cardiff City Stadium,Darren Bond
4,Sat,2023-08-26,15:00:00,Coventry City,1.6,0,Sunderland,0.7,0,25714,Coventry Building Society Arena,Keith Stroud
