gameweek,weekday,match_date,start_time,home_team,away_team
18,Sat,2023-12-23,,Manchester City,Brentford
21,Sat,2024-01-13,12:30:00,Chelsea,Fulham
21,Sat,2024-01-13,17:30:00,Newcastle Utd,Manchester City
21,Sun,2024-01-14,14:00:00,Everton,Aston Villa
21,Sun,2024-01-14,16:30:00,Manchester Utd,Tottenham
21,Mon,2024-01-15,19:45:00,Burnley,Luton Town
21,Sat,2024-01-20,12:30:00,Arsenal,Crystal Palace
21,Sat,2024-01-20,17:30:00,Brentford,Nott'ham Forest
21,Sun,2024-01-21,14:00:00,Sheffield Utd,West Ham
21,Sun,2024-01-21,16:30:00,Bournemouth,Liverpool
21,Mon,2024-01-22,19:45:00,Brighton,Wolves
22,Tue,2024-01-30,19:30:00,Nott'ham Forest,Arsenal
22,Tue,2024-01-30,19:45:00,Fulham,Everton
22,Tue,2024-01-30,19:45:00,Luton Town,Brighton
22,Tue,2024-01-30,20:00:00,Crystal Palace,Sheffield Utd
22,Tue,2024-01-30,20:15:00,Aston Villa,Newcastle Utd
22,Wed,2024-01-31,19:30:00,Tottenham,Brentford
22,Wed,2024-01-31,19:30:00,Manchester City,Burnley
22,Wed,2024-01-31,20:15:00,Liverpool,Chelsea
22,Thu,2024-02-01,19:30:00,West Ham,Bournemouth
22,Thu,2024-02-01,20:15:00,Wolves,Manchester Utd
23,Sat,2024-02-03,12:30:00,Everton,Tottenham
23,Sat,2024-02-03,15:00:00,Newcastle Utd,Luton Town
23,Sat,2024-02-03,15:00:00,Brighton,Crystal Palace
23,Sat,2024-02-03,15:00:00,Burnley,Fulham
23,Sat,2024-02-03,17:30:00,Sheffield Utd,Aston Villa
23,Sun,2024-02-04,14:00:00,Bournemouth,Nott'ham Forest
23,Sun,2024-02-04,14:00:00,Manchester Utd,West Ham
23,Sun,2024-02-04,14:00:00,Chelsea,Wolves
23,Sun,2024-02-04,16:30:00,Arsenal,Liverpool
23,Mon,2024-02-05,20:00:00,Brentford,Manchester City
24,Sat,2024-02-10,12:30:00,Manchester City,Everton
24,Sat,2024-02-10,15:00:00,Luton Town,Sheffield Utd
24,Sat,2024-02-10,15:00:00,Liverpool,Burnley
24,Sat,2024-02-10,15:00:00,Wolves,Brentford
24,Sat,2024-02-10,15:00:00,Fulham,Bournemouth
24,Sat,2024-02-10,15:00:00,Tottenham,Brighton
24,Sat,2024-02-10,17:30:00,Nott'ham Forest,Newcastle Utd
24,Sun,2024-02-11,14:00:00,West Ham,Arsenal
24,Sun,2024-02-11,16:30:00,Aston Villa,Manchester Utd
24,Mon,2024-02-12,20:00:00,Crystal Palace,Chelsea
25,Sat,2024-02-17,12:30:00,Brentford,Liverpool
25,Sat,2024-02-17,15:00:00,Newcastle Utd,Bournemouth
25,Sat,2024-02-17,15:00:00,Tottenham,Wolves
25,Sat,2024-02-17,15:00:00,Burnley,Arsenal
25,Sat,2024-02-17,15:00:00,Fulham,Aston Villa
25,Sat,2024-02-17,15:00:00,Nott'ham Forest,West Ham
25,Sat,2024-02-17,17:30:00,Manchester City,Chelsea
25,Sun,2024-02-18,14:00:00,Sheffield Utd,Brighton
25,Sun,2024-02-18,16:30:00,Luton Town,Manchester Utd
25,Mon,2024-02-19,20:00:00,Everton,Crystal Palace
26,Fri,2024-02-23,20:00:00,Chelsea,Tottenham
26,Sat,2024-02-24,15:00:00,Manchester Utd,Fulham
26,Sat,2024-02-24,15:00:00,Liverpool,Luton Town
26,Sat,2024-02-24,15:00:00,Crystal Palace,Burnley
26,Sat,2024-02-24,15:00:00,Brighton,Everton
26,Sat,2024-02-24,15:00:00,Aston Villa,Nott'ham Forest
26,Sat,2024-02-24,17:30:00,Bournemouth,Manchester City
26,Sat,2024-02-24,20:00:00,Arsenal,Newcastle Utd
26,Sun,2024-02-25,13:30:00,Wolves,Sheffield Utd
26,Mon,2024-02-26,20:00:00,West Ham,Brentford
27,Sat,2024-03-02,15:00:00,Fulham,Brighton
27,Sat,2024-03-02,15:00:00,Sheffield Utd,Arsenal
27,Sat,2024-03-02,15:00:00,Luton Town,Aston Villa
27,Sat,2024-03-02,15:00:00,Manchester City,Manchester Utd
27,Sat,2024-03-02,15:00:00,Tottenham,Crystal Palace
27,Sat,2024-03-02,15:00:00,Brentford,Chelsea
27,Sat,2024-03-02,15:00:00,Newcastle Utd,Wolves
27,Sat,2024-03-02,15:00:00,Nott'ham Forest,Liverpool
27,Sat,2024-03-02,15:00:00,Everton,West Ham
27,Sat,2024-03-02,15:00:00,Burnley,Bournemouth
28,Sat,2024-03-09,,Arsenal,Brentford
28,Sat,2024-03-09,,Bournemouth,Sheffield Utd
28,Sat,2024-03-09,,Liverpool,Manchester City
28,Sat,2024-03-09,,West Ham,Burnley
28,Sat,2024-03-09,,Aston Villa,Tottenham
28,Sat,2024-03-09,,Wolves,Fulham
28,Sat,2024-03-09,,Chelsea,Newcastle Utd
28,Sat,2024-03-09,,Brighton,Nott'ham Forest
28,Sat,2024-03-09,,Crystal Palace,Luton Town
28,Sat,2024-03-09,,Manchester Utd,Everton
29,Sat,2024-03-16,,Wolves,Bournemouth
29,Sat,2024-03-16,,Arsenal,Chelsea
29,Sat,2024-03-16,,Brighton,Manchester City
29,Sat,2024-03-16,,Manchester Utd,Sheffield Utd
29,Sat,2024-03-16,,Luton Town,Nott'ham Forest
29,Sat,2024-03-16,,Fulham,Tottenham
29,Sat,2024-03-16,,Everton,Liverpool
29,Sat,2024-03-16,,Burnley,Brentford
29,Sat,2024-03-16,,Crystal Palace,Newcastle Utd
29,Sat,2024-03-16,,West Ham,Aston Villa
30,Sat,2024-03-30,,Bournemouth,Everton
30,Sat,2024-03-30,,Newcastle Utd,West Ham
30,Sat,2024-03-30,,Brentford,Manchester Utd
30,Sat,2024-03-30,,Aston Villa,Wolves
30,Sat,2024-03-30,,Tottenham,Luton Town
30,Sat,2024-03-30,,Manchester City,Arsenal
30,Sat,2024-03-30,,Nott'ham Forest,Crystal Palace
30,Sat,2024-03-30,,Sheffield Utd,Fulham
30,Sat,2024-03-30,,Liverpool,Brighton
30,Sat,2024-03-30,,Chelsea,Burnley
31,Tue,2024-04-02,,Bournemouth,Crystal Palace
31,Tue,2024-04-02,,West Ham,Tottenham
31,Tue,2024-04-02,,Nott'ham Forest,Fulham
31,Tue,2024-04-02,,Arsenal,Luton Town
31,Tue,2024-04-02,,Brentford,Brighton
31,Tue,2024-04-02,,Burnley,Wolves
31,Wed,2024-04-03,,Liverpool,Sheffield Utd
31,Wed,2024-04-03,,Newcastle Utd,Everton
31,Wed,2024-04-03,,Manchester City,Aston Villa
31,Wed,2024-04-03,,Chelsea,Manchester Utd
32,Sat,2024-04-06,,Luton Town,Bournemouth
32,Sat,2024-04-06,,Brighton,Arsenal
32,Sat,2024-04-06,,Wolves,West Ham
32,Sat,2024-04-06,,Tottenham,Nott'ham Forest
32,Sat,2024-04-06,,Fulham,Newcastle Utd
32,Sat,2024-04-06,,Everton,Burnley
32,Sat,2024-04-06,,Sheffield Utd,Chelsea
32,Sat,2024-04-06,,Manchester Utd,Liverpool
32,Sat,2024-04-06,,Aston Villa,Brentford
